costCenterId,count,id_firestore,notes,referenceMonth,referenceYear,sectorId,unitId
BufF5aLxeaiyoFwz2yhO,6,C9aTKjgHHFmVDqYDbB5h,,3,2025,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
uCOdcnxILp65W3UFgcCs,2,CGsV4G312GSbwLZtaJkv,,5,2024,HWuwiRi50QD9VJ0nNzZY,vcUJkV1rt2Ia1JTvFP7v
J9S92kU1qMWpw8Tso8Av,12,CfdnDBzbDKtQkWJ6dZnL,,2,2025,DL7EE7BZyQRtBqjupgcq,vcUJkV1rt2Ia1JTvFP7v
qGQfdOhfYCHNRchsjw7F,5,Cux6ix2CfGljrnDQrpHY,,6,2024,eCwiMwQCRJKrvOCsQDVN,vcUJkV1rt2Ia1JTvFP7v
qGQfdOhfYCHNRchsjw7F,4,CvmvAaZQMqO9oYUDlYK0,,11,2024,eCwiMwQCRJKrvOCsQDVN,vcUJkV1rt2Ia1JTvFP7v
BPXkamEr3Da4fyUuiaCh,1,DmnavezYZzwt976Muutj,,4,2025,JNs88roJYQNCFvcRjRvS,vcUJkV1rt2Ia1JTvFP7v
uNyyHiailuJuxGJYrGc5,2,E6aXGcFdEjVG5bT6sjxu,,5,2025,jDL8jvFpKXMEnVdsBIex,vcUJkV1rt2Ia1JTvFP7v
hYhqQhId0xJm1f40rheK,1,EXQGHDs6wRHC8AXrqcyk,,5,2024,Dzg8StK8lfM4QoDVIstc,vcUJkV1rt2Ia1JTvFP7v
aEk50YUcFdYewSnTCyex,11,FEpVXvKogYvo4wEHGCQe,,4,2025,XNikCZJkyMPCdMfVGv1t,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,8,FbMYMQe07dZpoGzlRe8d,,5,2025,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
9SNUf0NcYlPsui81g4G5,1,GABQoJ3PBUwvDAG83lce,,4,2025,GHZu0eLugHwLG78jBeez,vcUJkV1rt2Ia1JTvFP7v
lLznvVLFlLhFVqgJp0WU,2,Ghv7RuSP4jHSFS44cfnL,,10,2024,ucnDmU9K4JKpFc3Os3Hd,vcUJkV1rt2Ia1JTvFP7v
fiVZaoRzyJm9b3wy79M0,10,GnrIDJnwcaKYhHmCcAha,,11,2024,74GXXOLQcPGgcBBPeJ4h,vcUJkV1rt2Ia1JTvFP7v
aEk50YUcFdYewSnTCyex,2,GwfG5arbsv11ZwfudEnp,,7,2024,XNikCZJkyMPCdMfVGv1t,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,7,HDDI170B9rLkImJeGK5m,,5,2024,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
LvdIwvDuN9VfH0xatcEj,31,HDpFXlNismkanok9rcwN,,1,2025,mTf5jggXwVzMMvN05DRj,vcUJkV1rt2Ia1JTvFP7v
BufF5aLxeaiyoFwz2yhO,4,HcCjZjeC5J9giiDMkdun,,4,2025,jY25W1eHGydiXTWGWF9S,vcUJkV1rt2Ia1JTvFP7v
LvdIwvDuN9VfH0xatcEj,3,HcTr9mjy7ThjO8V6a8LH,,7,2024,mTf5jggXwVzMMvN05DRj,vcUJkV1rt2Ia1JTvFP7v
5EvI4aS5hDKwYxD7MKPp,9,HdkaNxDvoQkiaygQm0ky,,11,2024,oTiIo2aNm119s40I50dk,vcUJkV1rt2Ia1JTvFP7v
BPXkamEr3Da4fyUuiaCh,1,I3F7Mz6OCcTswOpn6iHQ,,1,2025,JNs88roJYQNCFvcRjRvS,vcUJkV1rt2Ia1JTvFP7v
BPXkamEr3Da4fyUuiaCh,6,IOMLKRSndlwlFo2F2div,,9,2024,JNs88roJYQNCFvcRjRvS,vcUJkV1rt2Ia1JTvFP7v
wBz4mUcP7XOlhz119EWw,9,IPZzuwH9zSRa6xW1iu4A,,7,2024,ogIG1xXooObgj912at6t,vcUJkV1rt2Ia1JTvFP7v
uNyyHiailuJuxGJYrGc5,4,IwNqmV7gkqGbi9CeDv2D,,4,2025,jDL8jvFpKXMEnVdsBIex,vcUJkV1rt2Ia1JTvFP7v
qGQfdOhfYCHNRchsjw7F,10,JJYTR3cyfp1XCBuotkA0,,4,2025,eCwiMwQCRJKrvOCsQDVN,vcUJkV1rt2Ia1JTvFP7v
